date,North Gaza,North Gazasmooth,Gaza,Gazasmooth,Deir Al-Balah,Deir Al-Balahsmooth,Khan Younis,Khan Younissmooth,Rafah,Rafahsmooth
12/10/23,0.135782063,0.141003357,0.071690032,0.068343656,0.459872971,0.44172933,0.860828172,0.85197971,0.761524762,0.786641946
12/9/23,0.132926753,0.138710175,0.071252497,0.068467022,0.452050329,0.439311977,0.905039575,0.885731682,0.728428846,0.757477144
12/8/23,0.130842071,0.13710954,0.069587858,0.068951086,0.444476761,0.434971423,0.947004552,0.91763093,0.697786757,0.73103502
12/7/23,0.129598787,0.136285634,0.066971053,0.070084471,0.434751969,0.428891369,0.985559093,0.946807126,0.672817097,0.7076294
12/6/23,0.129136295,0.136316746,0.063544693,0.072248734,0.425672266,0.421188482,1.017684215,0.972566666,0.653660531,0.687377373
12/5/23,0.129384164,0.137264338,0.060274707,0.075881656,0.419066793,0.411894106,1.039634644,0.994454056,0.641337693,0.670203844
12/4/23,0.130108711,0.139157627,0.058880577,0.081416712,0.412992279,0.400969531,1.054394902,1.012282842,0.63332153,0.655871288
12/3/23,0.131575713,0.141975051,0.059935887,0.089204821,0.40628863,0.388353496,1.062367079,1.026134487,0.629530691,0.644030145
12/2/23,0.134733652,0.145626073,0.065142269,0.099430681,0.398514871,0.374031098,1.06469478,1.036328968,0.626612429,0.634281181
12/1/23,0.140837119,0.149938748,0.077783485,0.112040706,0.384496783,0.358107041,1.063207671,1.043373874,0.623372942,0.626237632
11/30/23,0.149463731,0.154659122,0.098498393,0.126701518,0.3630404,0.340862284,1.060938772,1.047900047,0.617756703,0.619575029
11/29/23,0.160114432,0.159466947,0.126401899,0.142804698,0.334743352,0.322775769,1.05746688,1.05059151,0.610971437,0.614059076
11/28/23,0.171879168,0.164008254,0.160448671,0.159525148,0.301539833,0.304500969,1.052785631,1.052116238,0.603044696,0.609547391
11/27/23,0.182246203,0.167940571,0.196107342,0.175928243,0.266972879,0.286800821,1.048001184,1.053061966,0.596370393,0.6059664
11/26/23,0.188265656,0.170982249,0.225995136,0.19110802,0.239729367,0.270455658,1.043788412,1.053880859,0.591919429,0.603271214
11/25/23,0.190090307,0.172955214,0.246841554,0.204328785,0.220293136,0.256166853,1.042253028,1.054847519,0.590219976,0.601399629
11/24/23,0.18817484,0.173811254,0.257375651,0.215139617,0.208667974,0.244479924,1.04510728,1.056035609,0.590372256,0.600231595
11/23/23,0.183566276,0.173635897,0.257353336,0.223436438,0.204100779,0.235743556,1.05128251,1.057318235,0.593395099,0.599563875
11/22/23,0.177326691,0.172629242,0.250449173,0.2294579,0.204770541,0.230108635,1.059397476,1.05839671,0.597754121,0.599105513
11/21/23,0.170814282,0.171068498,0.240454412,0.233717503,0.206852657,0.227559873,1.068710938,1.058857269,0.602865712,0.598494856
11/20/23,0.164836714,0.169261056,0.230381604,0.236888972,0.209898301,0.227963628,1.077293713,1.058250128,0.607287667,0.597334215
11/19/23,0.160173826,0.167498615,0.223165308,0.239672154,0.213969025,0.231113288,1.081524931,1.056178533,0.610864911,0.595235411
11/18/23,0.157177288,0.16602194,0.221695005,0.242669285,0.218948657,0.236758284,1.080850509,1.052381374,0.611026541,0.591867117
11/17/23,0.15671215,0.16500297,0.226242335,0.246297735,0.225561733,0.244611773,1.073855316,1.046790059,0.607326466,0.586995463
11/16/23,0.158444568,0.164546921,0.236414592,0.250754198,0.2355468,0.254341274,1.06006689,1.039545007,0.59922515,0.5805106
11/15/23,0.161254882,0.164712109,0.249570432,0.256032537,0.250058744,0.26555415,1.040842743,1.030963637,0.587971199,0.572435567
11/14/23,0.163806186,0.165541171,0.263535926,0.261984443,0.268301098,0.277792013,1.019860888,1.021463466,0.574193902,0.562916908
11/13/23,0.16555604,0.167094332,0.276046413,0.268403164,0.290043592,0.290544686,0.99859139,1.011455738,0.559460566,0.552200081
11/12/23,0.166237837,0.169474701,0.284654642,0.275106187,0.312715853,0.303287113,0.982606785,1.001235268,0.543482882,0.540594732
11/11/23,0.166407836,0.172836835,0.288767627,0.281995939,0.33257485,0.315533548,0.974031399,0.990895608,0.527916289,0.52843607
11/10/23,0.166565929,0.177373715,0.290497624,0.28908524,0.347772895,0.32689617,0.971797539,0.980294995,0.513064013,0.516047879
11/9/23,0.16769259,0.183282598,0.291283549,0.296485172,0.35808427,0.337132022,0.974331418,0.969086194,0.498306173,0.503712015
11/8/23,0.170567413,0.190716212,0.292050584,0.304363668,0.362125751,0.346164577,0.98105782,0.956805959,0.483896433,0.491647583
11/7/23,0.176948099,0.19973092,0.297865018,0.31289157,0.363407688,0.354072239,0.978949969,0.943001844,0.472527227,0.480001427
11/6/23,0.189062793,0.210245672,0.30806568,0.322194728,0.36350989,0.361045717,0.966116434,0.927361892,0.462943202,0.468849991
11/5/23,0.206715763,0.222024857,0.321791081,0.332328058,0.363866026,0.367324084,0.943451317,0.909810149,0.453873814,0.458210852
11/4/23,0.228222966,0.234692842,0.337140893,0.343279536,0.366146409,0.373124741,0.912285493,0.890540619,0.44590224,0.448060262
11/3/23,0.251883285,0.24778054,0.354856509,0.355003176,0.373284642,0.378583127,0.871748414,0.869979289,0.43792515,0.438351867
11/2/23,0.274804612,0.260795347,0.369140485,0.367470369,0.381570746,0.383714886,0.83593587,0.848685677,0.428246288,0.429031721
11/1/23,0.292331777,0.273299481,0.382051998,0.380723681,0.390690758,0.388406697,0.8064786,0.827222025,0.418144866,0.420046116
10/31/23,0.304085509,0.284978742,0.393392091,0.394915177,0.400341232,0.392435444,0.783754469,0.80602725,0.408124701,0.411341388
10/30/23,0.311340411,0.295686328,0.404057353,0.41031485,0.408738694,0.395509758,0.766832227,0.785328858,0.398729315,0.402858206
10/29/23,0.316155994,0.305452586,0.412436479,0.427280729,0.413673282,0.397324784,0.756373032,0.765114566,0.391059213,0.394525334
10/28/23,0.318354379,0.314460376,0.422265149,0.446192287,0.416445509,0.397619958,0.747664399,0.745167048,0.384968564,0.386258331
10/27/23,0.32021994,0.322993877,0.434834756,0.467358258,0.417207733,0.396230344,0.73799405,0.72514852,0.379441521,0.377967001
10/26/23,0.323765201,0.33137393,0.453380329,0.490918298,0.414064112,0.393123861,0.724269998,0.704709913,0.37421836,0.369571997
10/25/23,0.330036898,0.339894222,0.480983589,0.516761989,0.406339188,0.388418701,0.704757191,0.683596221,0.367581135,0.361026867
10/24/23,0.338970487,0.348770369,0.5199231,0.544486519,0.394709,0.382378071,0.677955892,0.661723805,0.358139521,0.352339236
10/23/23,0.349952164,0.358108859,0.564928553,0.573407237,0.380598488,0.375382696,0.647211121,0.639215381,0.347007674,0.343583827
10/22/23,0.363108465,0.367896959,0.611767518,0.602621893,0.364892391,0.367885238,0.615472883,0.61639166,0.334456744,0.33490225
10/21/23,0.3762704,0.378010121,0.655167218,0.63111709,0.350727296,0.360354095,0.58593564,0.59372851,0.321597446,0.326488184
10/20/23,0.389621099,0.388230619,0.694768047,0.657894719,0.339601781,0.353216937,0.556432107,0.571794547,0.309274966,0.318561179
10/19/23,0.401599029,0.398271463,0.724147096,0.682091579,0.332033308,0.346814038,0.531933555,0.551185651,0.299985011,0.311335269
10/18/23,0.414064094,0.40780108,0.745560469,0.703067327,0.327348227,0.341369777,0.509845506,0.532469381,0.292879705,0.304990436
10/17/23,0.42564818,0.41646724,0.759644666,0.720444686,0.325595828,0.336986496,0.490726671,0.51614588,0.288082654,0.299653698
10/16/23,0.436973293,0.423920512,0.768951816,0.734096988,0.325277711,0.33366034,0.473462288,0.502626584,0.285032892,0.295393577
10/15/23,0.446540344,0.42983829,0.770147594,0.744089809,0.325981916,0.331313684,0.463009098,0.492228354,0.284019048,0.292227863
10/14/23,0.454132374,0.433949243,0.769604245,0.750593562,0.326892253,0.329836523,0.455646612,0.485177312,0.283422516,0.290141359
10/13/23,0.459078,0.43605655,0.767828,0.753789098,0.327827,0.329127714,0.451715,0.481617115,0.28325,0.289107523
